カード名,型番,画像ファイル名,フレーバー
ドクガンリュー・パイン,DM22 53/55,346_017_01_ドクガンリュー・パイン.jpg,偉大なる龍よ！我等に不死鳥を倒す力を！―ドクガンリュー・パイナップル
森の歌い手ケロディナンス,DM22 54/55,346_018_01_森の歌い手ケロディナンス.jpg,おれっちの歌をきくケロ！―森の歌い手ケロディナンス
リトルアイズ・グロース,DM22 55/55,346_019_01_リトルアイズ・グロース.jpg,昨日種まいたばっかなんだけどなあ・・・。
キャプテン・ミリオンパーツ,DM21 S1/S5,346_020_01_キャプテン・ミリオンパーツ.jpg,1000時間をかけて作り上げられたこの身体に不可能の文字は無い！-キャプテン・ミリオンパーツ
封魔の戦慄ジュマゾール,DM21 S3/S5,346_022_01_封魔の戦慄ジュマゾール.jpg,デスモナークの禍々しい生き血が、生け贄にしたグランド・デビルに再び生命を与える目印になる。
災勇鬼ダイゴクウ,DM21 S5/S5,346_024_01_災勇鬼ダイゴクウ.jpg,ダイゴクウ様がいると、なんかやる気が沸いてくるんだ！- 韋駄天モー
魔聖デス・アルカディア,DM21 3/55,346_027_01_魔聖デス・アルカディア.jpg,魔に落ちた精霊の身体に渦巻く後悔は、怒りに代わり、すべての生命を死へと追いやる。
ティラノ・リンク・ノヴァ,DM21 4/55,346_028_01_ティラノ・リンク・ノヴァ.jpg,竜の炎と魂の炎。二つの炎が合わさるとき、全てを消滅させる光が生まれる。
霊騎アガジム,DM21 7/55,346_031_01_霊騎アガジム.jpg,その身体からほとばしる魔力は、大いなる大地に新たなる力を与える。
城壁の守護者パルディオ,DM21 22/55,346_046_01_城壁の守護者パルディオ.jpg,パルディオは味方を守る二つの盾を持っている。一つは自らが形成する光の盾、そしてもう一つはパルディオ自身だ。
秘護精ヴィノゴート,DM21 23/55,346_047_01_秘護精ヴィノゴート.jpg,暴れ牛かと思って身構えたんだけど、よく見たら暴れ山羊だったんだ。びっくりして損したよ！ - 一撃勇者ホノオ
装甲支援ガトリンガー,DM21 24/55,346_048_01_装甲支援ガトリンガー.jpg,おいおい、撃ち過ぎだって！これじゃ降りれねえよ！-キャプテン・ハッスル
エナジー・スパイラル,DM21 26/55,346_050_01_エナジー・スパイラル.jpg,OK！相手の弱点はわかった。そのまま吹っ飛ばしてやれ！-コマンダー・テクノバスター
封魔ザレオス,DM21 28/55,347_002_01_封魔ザレオス.jpg,奴は凄腕の罠師だ。知らぬ間にディープ・マリーンどもに罠を仕掛けてやがる。 - 封魔アドラク
ゾンビ・サイクロン,DM21 29/55,347_003_01_ゾンビ・サイクロン.jpg,魔力を帯びた風が、彷徨う魂を引き寄せる！
究極兵士ファルゲン,DM21 30/55,347_004_01_究極兵士ファルゲン.jpg,荒れ果てた大地が彼を熱くさせる。
超獣大砲,DM21 32/55,347_006_01_超獣大砲.jpg,お前の犠牲は無駄にはしない。 -アイアンコマンド・ドラグーン
霊騎シュバイン,DM21 33/55,347_007_01_霊騎シュバイン.jpg,セラ・メトロポリスの両翼から新型兵器と共に地上へと急襲する。
魂の呼び声,DM21 35/55,347_009_01_魂の呼び声.jpg,俺が行くまで待ってろよ！
キャプテン・ハッスル,DM21 36/55,347_010_01_キャプテン・ハッスル.jpg,貴様の悪行もそこまでだ！天が見逃してもこのハッスルが見逃しはしない！ -キャプテン・ハッスル
アクア・ウォリアー,DM21 40/55,347_014_01_アクア・ウォリアー.jpg,倒すよりも、倒される方が重要な時もある。
ラディアック・ガルクス,DM21 41/55,347_015_01_ラディアック・ガルクス.jpg,封魔の纏う瘴気を浴びることで、ラディアック・ガルクスの光はより一層輝きを増す。
タスクナイト・ムーブリッド,DM21 43/55,347_017_01_タスクナイト・ムーブリッド.jpg,海の中で牙を見つけたら気をつけろ。そこはムーブリッドの領域だぞ。 - 災勇鬼ダイゴクウ
恐劇人形ワラニン,DM21 45/55,347_019_01_恐劇人形ワラニン.jpg,ワラニンのネタは常に笑えない。何故ならネタがどんなに面白くても、奴の存在は恐怖そのものだからだ。
爆炎のゴーバウダン,DM21 46/55,347_020_01_爆炎のゴーバウダン.jpg,ティラノ・ドレイク達の怒りから、ゴーバウダンは生まれた。
肝っ玉メリー,DM21 48/55,347_022_01_肝っ玉メリー.jpg,「一号機がやられた！」「ひるむな！つっこむんだ！」-肝っ玉メリー
テクテク・アリンコン,DM21 50/55,347_024_01_テクテク・アリンコン.jpg,いつの世も蟻さんは働き者でしたとさ。 -大作家チューデルセン
竜音のキラ,DM21 51/55,347_025_01_竜音のキラ.jpg,炎の息吹が奏でる音色だけが、キラ・ゼクス・ドラグーンを操ることができる。
霊騎アウリエス,DM21 52/55,347_026_01_霊騎アウリエス.jpg,その声はどこまでも心に響く。
パタパタ・バタフライ,DM21 53/55,347_027_01_パタパタ・バタフライ.jpg,いつものんびり空の旅。たまにはゆっくり一休み。
秘護精ユニフォーク,DM21 54/55,347_028_01_秘護精ユニフォーク.jpg,主と共にあることで、ユニフォークの角は鋭さを増す。
豪腕機兵ナックル・フィスト,DM20 1/55,347_035_01_豪腕機兵ナックル・フィスト.jpg,くらえ！必殺ビッグバンナックル！-豪腕機兵ナックル・フィスト
コマンダー・テクノバスター,DM20 2/55,347_036_01_コマンダー・テクノバスター.jpg,「貴様の富、独り占めは俺様が許さん！」- コマンダー・テクノバスター
忘却人形ラビオール,DM20 3/55,347_037_01_忘却人形ラビオール.jpg,み?んな、忘れて気持ちよくなろうぜぇ?。 - 忘却人形ラビオール
流れ星ムサシ,DM20 4/55,347_038_01_流れ星ムサシ.jpg,「おいおい、雑魚の相手はゴメンだぜ！」 - 流れ星ムサシ
スローリー・チェーン,DM20 8/55,347_042_01_スローリー・チェーン.jpg,物質化された光は、何者も抜け出す事の出来ない強力な縛鎖となる。
弾丸透魂スケルハンター,DM20 10/55,347_044_01_弾丸透魂スケルハンター.jpg,避けられない量のミサイルを撃てば必ず当たる。これぞスケルハンターのミサイル哲学。
黒神龍ヴァイザス,DM20 12/55,347_046_01_黒神龍ヴァイザス.jpg,朽ちた身体に二つの頭。故に滅びぬ道理は無し。そしてそれゆえに他者の滅びを望まぬ道理も無い。
百発人形マグナム,DM20 13/55,347_047_01_百発人形マグナム.jpg,「楽しみたければ、代償は支払わないとな。」 - 百発人形マグナム
衝撃のロウバンレイ,DM20 17/55,348_001_01_衝撃のロウバンレイ.jpg,ロウバンレイが纏う灼熱の衣は、近づく者を一瞬で蒸発させる。
緑神龍ミルドガルムス,DM20 19/55,348_003_01_緑神龍ミルドガルムス.jpg,大地に住む龍は生きる年月と共に巨大さを増していく。故に十万年も生きればその体長は小さな大陸一周分にもなるのだ。
偉大なる恵み,DM20 20/55,348_004_01_偉大なる恵み.jpg,溢れ出す光はマナの輝きに他ならない。
キャプテン・ジャイロ,DM20 22/55,348_006_01_キャプテン・ジャイロ.jpg,回るジャイロが勇気を運ぶ！キャプテン・ジャイロただいま参上！-キャプテン・ジャイロ
封魔フォラス,DM20 27/55,348_011_01_封魔フォラス.jpg,フォラスの後に続く者はいない。何故ならフォラスが踏み潰してしまうからだ。
エンドブリンガー・ドラグーン,DM20 28/55,348_012_01_エンドブリンガー・ドラグーン.jpg,触れられた者は灰燼と帰す。しかし触れられれば灰燼と化す。
怨念集結,DM20 29/55,348_013_01_怨念集結.jpg,たたりじゃー！
スカイチーフ・ハッチン,DM20 30/55,348_014_01_スカイチーフ・ハッチン.jpg,隊長「行け！蜂のように刺すんだ！」 隊員「いや俺たちそもそも蜂だし・・・」
お騒がせチューザ,DM20 31/55,348_015_01_お騒がせチューザ.jpg,「もうもうもう誰なんだよ！ 危険が迫らないと効かないお札とか作るなんて！」 - お騒がせチューザ
ザッピング・ビーンズ,DM20 33/55,348_017_01_ザッピング・ビーンズ.jpg,命は天下の回りもの。
ホップステップ・バッタン,DM20 34/55,348_018_01_ホップステップ・バッタン.jpg,優しいけれど力持ち、今日も楽しくぶらリ旅。
ビックリ・イリュージョン,DM20 35/55,348_019_01_ビックリ・イリュージョン.jpg,魂の本質を変えてしまえば、ウサギだって竜になれる。
霊騎パニシオン,DM20 36/55,348_020_01_霊騎パニシオン.jpg,二千年ほど前、フィオナの森特有のエナジーを利用する闘技の開発が始まった。
反骨鉄拳バーニアン,DM20 37/55,348_021_01_反骨鉄拳バーニアン.jpg,天空島跡地では、ピンチを楽しむ訓練から始める。
キャプテン・スーパーレスキュー,DM20 38/55,348_022_01_キャプテン・スーパーレスキュー.jpg,我が命、この一斉発射にかける！-キャプテン・スーパーレスキュー
アクア・ハルク,DM20 40/55,348_024_01_アクア・ハルク.jpg,援軍の先頭には、必ず彼の姿がある。
ウェービング・アルゴルス,DM20 41/55,348_025_01_ウェービング・アルゴルス.jpg,一つの感覚を閉ざせば、別の感覚が研ぎ澄まされる。
シークレット・クロックタワー,DM20 43/55,348_027_01_シークレット・クロックタワー.jpg,時間を操れば、過去も未来も自由自在。
サイレント・ドラグーン,DM20 44/55,348_028_01_サイレント・ドラグーン.jpg,サイレント・ドラグーンは音無き闇から現れる漆黒の狩人。未だその姿を見て生きて帰った者はいない。
毒霧のケンプラー,DM20 46/55,348_030_01_毒霧のケンプラー.jpg,奪った命で失われた命を蘇らせる。実に簡単なロジックだろ？-毒霧のケンプラー
封魔ジョーズジャクス,DM20 47/55,348_031_01_封魔ジョーズジャクス.jpg,強い薬には、副作用があるものだ。魔物だって同じことだ。
スマッシュブロウ・ドラグーン,DM20 49/55,348_033_01_スマッシュブロウ・ドラグーン.jpg,その腕はある時は盾となり、またある時は刃となる。
追撃のライゼン,DM20 50/55,348_034_01_追撃のライゼン.jpg,びびってるわけじゃない、何事も二回目以降が肝心って事さ。-追撃のライゼン
吸炎掌,DM20 51/55,348_035_01_吸炎掌.jpg,体温いただき！
秘護精マニトゥス,DM20 53/55,348_037_01_秘護精マニトゥス.jpg,大地に輝きを取り戻すために彼らは存在する。
バンダム・オレンジ,DM20 54/55,348_038_01_バンダム・オレンジ.jpg,待っていたんだこのチャンス！-バンダム・オレンジ
ファンタジー・ハート,DM19 S4/S10,348_043_01_ファンタジー・ハート.jpg,つい、合成したくなる。
悪魔神デスモナーク,DM19 S5/S10,348_044_01_悪魔神デスモナーク.jpg,光の時代は終わり、我ら一族こそがこの世に永遠をもたらすのだ！---モナーク家末弟、デスモナーク
オメガ・クライシス・ドラグーン,DM19 S8/S10,348_047_01_オメガ・クライシス・ドラグーン.jpg,一万年経とうと、竜は変わらず気高い存在だ。
ジェネラル・クワガタン,DM19 S9/S10,348_048_01_ジェネラル・クワガタン.jpg,友達との旅が、最高の幸せ。
グレイト・カクタス,DM19 S10/S10,348_049_01_グレイト・カクタス.jpg,「溢れるグレイトが止まらない!!」---グレイト・カクタス
光渦の守護者フォル・レガイア,DM19 1/110,348_050_01_光渦の守護者フォル・レガイア.jpg,渦巻く光は、金属で包まれた者と、土に育まれた者を、共に力強く包み込んだ。
封魔ニューロ・マルヴァス,DM19 4/110,349_003_01_封魔ニューロ・マルヴァス.jpg,機械ってのはホント使いやすいぜ。ちょっと電波送ってやればせっせと働きやがる。---封魔ニューロ・マルヴァス
封魔ソウル・アヴァルス,DM19 5/110,349_004_01_封魔ソウル・アヴァルス.jpg,一万年という月日の流れが、悪魔達に信じがたい力を与えた。
リベンギオス・ドラグーン,DM19 6/110,349_005_01_リベンギオス・ドラグーン.jpg,勝ちすぎた状態ほど、負けやすいものはない。
北海の暴れん坊レッド・ジャッカル,DM19 8/110,349_007_01_北海の暴れん坊レッド・ジャッカル.jpg,彼らは、誰かが死に際に思った空想の具現化と言われている。
霊騎スピリット・サティーク,DM19 10/110,349_009_01_霊騎スピリット・サティーク.jpg,人は山。人は海。人は土地。
霊騎ラファーム,DM19 11/110,349_010_01_霊騎ラファーム.jpg,彼らは生け贄と共に星に祈り続ける。彼らが銀河へと帰っていくその日まで。
鋼鉄機甲ベンケロス,DM19 12/110,349_011_01_鋼鉄機甲ベンケロス.jpg,その姿はまさに大空に輝く黄金の防衛者なり！
霊騎ロウム,DM19 13/110,349_012_01_霊騎ロウム.jpg,成長したセラフィムは半人半獣の姿となるが、その過程は謎に包まれている。
平和の守護者メ・フューサー,DM19 14/110,349_013_01_平和の守護者メ・フューサー.jpg,言葉だけでは伝わらない真実がある。
霊騎マルディス,DM19 15/110,349_014_01_霊騎マルディス.jpg,アーク・セラフィムは聖獣を身体に顕現させる事によって完全な姿となる。
ソーラー・コミューン,DM19 16/110,349_015_01_ソーラー・コミューン.jpg,悔い改めよ！
封魔バーガンティス,DM19 18/110,349_017_01_封魔バーガンティス.jpg,水をワインにする事など造作も無い事だ。勿論毒にする事もな。---封魔バーガンティス
封魔ラベリーズ,DM19 19/110,349_018_01_封魔ラベリーズ.jpg,グランド・デビルに取り込まれた生物は様々な力を持つようになる。
封魔ダンリモス,DM19 20/110,349_019_01_封魔ダンリモス.jpg,「ノクターン、このネタ貸しとくぜ！」--- 封魔ダンリモス
シャドーウェーブ・サイクロン,DM19 22/110,349_021_01_シャドーウェーブ・サイクロン.jpg,考えるな、感じるのだ！海の力を！
封魔ガルプルス,DM19 23/110,349_022_01_封魔ガルプルス.jpg,何も持たないなら、盗賊を恐れることはない。だが、相手が悪魔の時は、どうすればいい？
ビトレイヤル・ドラグーン,DM19 24/110,349_023_01_ビトレイヤル・ドラグーン.jpg,文明同士の争いも、1万年の悠久の時が静かに洗い流したはずだった。
封魔ガルマジアス,DM19 25/110,349_024_01_封魔ガルマジアス.jpg,「終魔」それがガルマジアスのもうひとつの名だ。付いた理由は聞かなくたってわかるだろう。
ソウルバイス・ドラグーン,DM19 26/110,349_025_01_ソウルバイス・ドラグーン.jpg,元々強力な竜族が集団で行動する・・・その意味がわからぬほど愚かでもあるまい。
インフェルノ・ゲート,DM19 27/110,349_026_01_インフェルノ・ゲート.jpg,地獄の扉を開くことなど、悪魔神にとっては容易いことだ。
トラップ・コミューン,DM19 28/110,349_027_01_トラップ・コミューン.jpg,あれに組み付かれちまったらおしまいさ。
ペリオンブレス・ドラグーン,DM19 30/110,349_029_01_ペリオンブレス・ドラグーン.jpg,成体になったティラノ・ドレイクの力は幼体の頃とは比べようも無い程強力なものとなる。
ヒートウェイブ・ドラグーン,DM19 31/110,349_030_01_ヒートウェイブ・ドラグーン.jpg,天空を彩る星々が命を持つ。その事実にほとんどのものは気がついていなかった。
燃える耳のピットトン,DM19 32/110,349_031_01_燃える耳のピットトン.jpg,耳？そんなもん燃やしちまったよ！そしたら良く聞こえるようになったぜ！---燃える耳のピットトン
ジェット・サイクロン,DM19 34/110,349_033_01_ジェット・サイクロン.jpg,超高速で流れる気流を利用した奇襲作戦は見事に成功した。
大菜王ゴッド・バナナーン,DM19 35/110,349_034_01_大菜王ゴッド・バナナーン.jpg,控えおろう！頭に輝くフルーツ飾りが目に入らぬか！ ---大菜王ゴッド・バナナーン
霊騎ラディア,DM19 36/110,349_035_01_霊騎ラディア.jpg,人の目を欺けたとしても、天と地は全てを知っている。
冒険探検アミトアキ,DM19 37/110,349_036_01_冒険探検アミトアキ.jpg,どんな場所でも、大冒険。
霊騎サンダール,DM19 38/110,349_037_01_霊騎サンダール.jpg,森の仲間との共存は、天使達をただの無機質以上にした。
強襲の長(アサルト・チャンピオン),DM19 39/110,349_038_01_強襲の長.jpg,突撃は最大の防御だぜ！---強襲の長
トライバル・コミューン,DM19 40/110,349_039_01_トライバル・コミューン.jpg,繋いだ気持ちが、力の源！
霊騎レングストン,DM19 44/110,349_043_01_霊騎レングストン.jpg,一万年という時の流れと環境の変化が、新たな姿を持つ天使達を誕生させた。
リバース・サイクロン,DM19 46/110,349_045_01_リバース・サイクロン.jpg,ファイトー！ もうイッパーツ！
封魔アドラク,DM19 47/110,349_046_01_封魔アドラク.jpg,アドラクが欺くのは敵だけとは限らない。
デモメイト・エリダヌス,DM19 48/110,349_047_01_デモメイト・エリダヌス.jpg,ディープ・マリーンがどのようにして生まれたのかは定かではない。一説では滅びの道にあった種族が生き残りを賭けてその身を合体させたとか。
封魔バルゾー,DM19 49/110,349_048_01_封魔バルゾー.jpg,吹き荒れる黒瘴流の中で暮らす力を、彼等は別の種との融合で手に入れた。
メディカル・アルナイル,DM19 51/110,349_050_01_メディカル・アルナイル.jpg,この世界の全ては仮初めの夢。そう思ったことはないか？
ジェットパンチ・ドラグーン,DM19 54/110,350_003_01_ジェットパンチ・ドラグーン.jpg,ティラノ・ドレイクには時として成体を待たずにその力を開花させる者もいる。
ノクターン・ドラグーン,DM19 55/110,350_004_01_ノクターン・ドラグーン.jpg,「残念だが、既に裏付けはとれている。そう、蟹のハサミを持つ男からね。」 ---ノクターン・ドラグーン
スナイプ・アルフェラス,DM19 57/110,350_006_01_スナイプ・アルフェラス.jpg,グランド・デビルとの共生がディープ・マリーンにとっては最良の選択肢だった。
バイス・サイクロン,DM19 58/110,350_007_01_バイス・サイクロン.jpg,もう十分だブゥ！
舞空戦士メディーン,DM19 59/110,350_008_01_舞空戦士メディーン.jpg,一万年という時間は人族に空を飛ぶ事すら可能にさせた。
イガルス・ドラグーン,DM19 60/110,350_009_01_イガルス・ドラグーン.jpg,全てのティラノ・ドレイクは竜凰の姿を目指すが、到達できるのはほんの一部だ。
早食王のリンパオ,DM19 61/110,350_010_01_早食王のリンパオ.jpg,また食べにくい物を斬ってしまった…。---早食王のリンパオ
一撃勇者ホノオ,DM19 62/110,350_011_01_一撃勇者ホノオ.jpg,俺は炎のヒーロー！世界を変えてみせる！--- 一撃勇者ホノオ
ワンショット・フレーム,DM19 63/110,350_012_01_ワンショット・フレーム.jpg,燃えろ！
クリムゾン・コミューン,DM19 64/110,350_013_01_クリムゾン・コミューン.jpg,撃って撃って撃ちまくれ！
霊騎ガリウム,DM19 65/110,350_014_01_霊騎ガリウム.jpg,憎しみを持てば、光は刃となって見る者に襲いかかるだろう。
霊騎ラグマール,DM19 66/110,350_015_01_霊騎ラグマール.jpg,時の流れと共に、魔導具は姿を消した。だが、それが未来永劫続くかどうかは誰も知らない。
霊騎クルス・タスポル,DM19 67/110,350_016_01_霊騎クルス・タスポル.jpg,霊騎は集結サインを見逃さなかった。だが、修行中の空手家は…。
カラテ・キャロット,DM19 68/110,350_017_01_カラテ・キャロット.jpg,空手家たるもの、明鏡止水。何事にも動じることなし。
博識の森のポルタス,DM19 70/110,350_019_01_博識の森のポルタス.jpg,不吉な予兆を感じたポルタスは、直ぐさま森の仲間に集結サインを打ち上げた 。
静電の守護者パルスマルス,DM19 71/110,350_020_01_静電の守護者パルスマルス.jpg,不思議な閃光を、見逃すわけにはいかなかったのだ。---守備隊長の告白
アクア・ホーリー,DM19 72/110,350_021_01_アクア・ホーリー.jpg,魔導具によって崩壊した世界にはもう文明の意味など無かった。ただ、力のみが頼りだったのだ。
霊騎サイヤ,DM19 73/110,350_022_01_霊騎サイヤ.jpg,守るべきものを失った彼らは、為すべき事を為す存在へと変わった。
霊騎ラハース,DM19 74/110,350_023_01_霊騎ラハース.jpg,1万年の間、生命は何度も何度も絶滅の危機を乗り越え、新しい形へと変わっていった。
霊都の守護者メリア・ネクス,DM19 75/110,350_024_01_霊都の守護者メリア・ネクス.jpg,地に落ちた後も、守護者は変わらず守り続けた。
鋼鉄大使ジャンボ・アタッカー,DM19 76/110,350_025_01_鋼鉄大使ジャンボ・アタッカー.jpg,鋼鉄大使ジャンボ・アタッカーがやらねば、誰がやる。
霊騎マリクス,DM19 77/110,350_026_01_霊騎マリクス.jpg,地上での活動効率を上げるために精霊達はまず退化した手足を使う事にした。
封魔マルコシャス,DM19 79/110,350_028_01_封魔マルコシャス.jpg,取り込んだ生物によってグランド・デビルの力は大きく変化する。
封魔ゼレス,DM19 80/110,350_029_01_封魔ゼレス.jpg,より強力な力を手に入れるため、悪魔達は天使の亡骸を欲した。天使達の高潔な性質が、頑丈な武具となったから。
アクア・スクリュー,DM19 81/110,350_030_01_アクア・スクリュー.jpg,生存のため、様々な種族の間で協力関係が築かれたが、多くは失敗した。混乱して異形になったが、リキッド・ピープル族はとにかく生きながらえることに成功した。
封魔フォルカロル,DM19 84/110,350_033_01_封魔フォルカロル.jpg,グランド・デビルは荒廃した世界を生き抜くために水文明の生き物を身体に取り込んだ。
ブレイン・サイクロン,DM19 86/110,350_035_01_ブレイン・サイクロン.jpg,何が出るかな?。
封魔グラーボス,DM19 88/110,350_037_01_封魔グラーボス.jpg,圧倒的な暴力。それこそ絶対の秩序なのだ。---封魔グラーボス
チルドホーン・ドラグーン,DM19 89/110,350_038_01_チルドホーン・ドラグーン.jpg,幼少時代は角の生えた人型をしているが、相応しい力を持つ者だけが、サナギを経てドラゴンの姿へと変わっていく。
封魔ザミジール,DM19 90/110,350_039_01_封魔ザミジール.jpg,ザミジールは星の力を恐れるあまり禍々しい存在である事を望んだ。
光線人形ストリウム,DM19 92/110,350_041_01_光線人形ストリウム.jpg,どんな時でも、みんなの味方。
封魔エリゴウル,DM19 93/110,350_042_01_封魔エリゴウル.jpg,俺がこの戦の結果を教えてやろう！貴様の負け！---封魔エリゴウル
ブラストボール・ドラグーン,DM19 96/110,350_045_01_ブラストボール・ドラグーン.jpg,ティラノ・ドレイクにはまだ秘めた力がある。本人すら気がついていない。
アウトロー・ペッパー,DM19 97/110,350_046_01_アウトロー・ペッパー.jpg,植物が火を嫌がるだって？馬鹿も休み休みに言えよ！ ---アウトロー・ペッパー
撃輪のメイズローゼン,DM19 98/110,350_047_01_撃輪のメイズローゼン.jpg,消せるもんなら消してみろってんだ！ ---撃輪のメイズローゼン
熱血戦士バギャーン,DM19 99/110,350_048_01_熱血戦士バギャーン.jpg,光の速さで明日へキック！
力持ちのジェロン,DM19 100/110,350_049_01_力持ちのジェロン.jpg,「次の祭りが待ちきれねーぜ！」---力持ちのジェロン
疾風のスウザ,DM19 101/110,350_050_01_疾風のスウザ.jpg,「さぁ、風になろうぜ。」 --- 疾風のスウザ
ガトリング・サイクロン,DM19 102/110,351_001_01_ガトリング・サイクロン.jpg,音より早く蜂の巣にしてやる！
白銀のシュシュ,DM19 103/110,351_002_01_白銀のシュシュ.jpg,どこにも繋がっていないと思っている、みんながどこかで繋がっているから、生きていける。
霊騎パージオン,DM19 104/110,351_003_01_霊騎パージオン.jpg,劣勢がなければ、逆襲は始まらない。
スライス・オニオン,DM19 105/110,351_004_01_スライス・オニオン.jpg,切り味は鋭く、切られ味は目にしみる。それがオニオン流。
マスク・ド・チェリー,DM19 106/110,351_005_01_マスク・ド・チェリー.jpg,ヘタな考え休むに似たり。ヘタの切れ目が縁の切れ目。
樹脈の守護者エバード・ゼノム,DM19 107/110,351_006_01_樹脈の守護者エバード・ゼノム.jpg,一万年経った今でもガーディアン達はその本能を忘れてはいない。
霊騎シーリンズ,DM19 108/110,351_007_01_霊騎シーリンズ.jpg,多彩な復興作業を可能とするためもあり、下級天使は人型の姿をしている。
霊騎アンタリオス,DM19 109/110,351_008_01_霊騎アンタリオス.jpg,魔導具同士の戦いは、十分に星を砕くだけの力を持っていた。だが、幾つかの神の犠牲と引き替えに、最悪の事態だけは免れたのだ。
フェアリー・サイクロン,DM19 110/110,351_009_01_フェアリー・サイクロン.jpg,舞い上がる生命の息吹によってマナは生まれる。
アクア・スナイパー,DM18 S4/S10,351_013_01_アクア・スナイパー.jpg,あなたは水の中にいる。あなたに水が襲いかかる。
メテオ・ドラゴン,DM18 S8/S10,351_017_01_メテオ・ドラゴン.jpg,大地に落ちた空は、竜の姿となった。
風撃の求道者ラ・バイル,DM18 1/140,351_020_01_風撃の求道者ラ・バイル.jpg,空に漂う黄金の雲は優しき平穏の印。
天空の守護者グラン・ギューレ,DM18 2/140,351_021_01_天空の守護者グラン・ギューレ.jpg,空を覆う巨大な影、それはどれほど巨大だっかことか、ほとんどの者が気が付かなかった。
真理の伝道師レイーラ,DM18 3/140,351_022_01_真理の伝道師レイーラ.jpg,伝道師たちは予言者の言葉を伝え、言葉は真理の力を持つだろう。
キング・ポセイドン,DM18 4/140,351_023_01_キング・ポセイドン.jpg,その巨大な姿は海の偉大さを体現しているかのようだ。
プラズマ・チェイサー,DM18 5/140,351_024_01_プラズマ・チェイサー.jpg,地上侵攻用プログラム。1対多数戦闘を想定し、自動追尾システムを強化。
アクア・レンジャー,DM18 6/140,351_025_01_アクア・レンジャー.jpg,「コードAGはまだか！早くしないと完成する！」---アクア・レンジャー
ギガルゴン,DM18 7/140,351_026_01_ギガルゴン.jpg,闇の領域では、死後の安息すら許されない。
暗黒皇女メガリア,DM18 9/140,351_028_01_暗黒皇女メガリア.jpg,不気味に沈黙する軍勢の前で、幾千もの魂を封じた邪杯を手に掲げる。
ボルシャック・ドラゴン,DM18 11/140,351_030_01_ボルシャック・ドラゴン.jpg,片目のボルシャックを見たら、その姿を魂に刻むと良い。その龍は真に勇敢な龍だから。
ボルザード・ドラゴン,DM18 12/140,351_031_01_ボルザード・ドラゴン.jpg,鎧竜の咆哮が轟く時、大地は割れ天は裂ける。
ゼノ・マンティス,DM18 13/140,351_032_01_ゼノ・マンティス.jpg,闇のワームがその力を飲み込み、平和な森を地獄に変えた。
鼓舞の化身(ダンシング・トーテム),DM18 15/140,351_034_01_鼓舞の化身.jpg,「叩いて叩いて叩きまくるずら！」 ---鼓舞の化身
ハンドレッドバレル・ドラゴン,DM18 B1/1,351_035_01_ハンドレッドバレル・ドラゴン.jpg,百裂拳を武器に、新たな伝説と歴史が、君の未来に託された！
黄昏の守護者シーブス・キーン,DM18 17/140,351_037_01_黄昏の守護者シーブス・キーン.jpg,天空の塔の住人たちは、侵入者を決して許さなかった。
粛清の伝道師ラー,DM18 18/140,351_038_01_粛清の伝道師ラー.jpg,伝道師を見た者たちは、日食は災害の前ぶれだと信じるようになった。
予言者ミキュート,DM18 19/140,351_039_01_予言者ミキュート.jpg,ミキュートの神託は逃れられない光の網となる。
光封樹(トラップ・ツリー),DM18 20/140,351_040_01_光封樹.jpg,塔の灯が、悪しき心を吸い寄せる。
レーザー・ウイング,DM18 21/140,351_041_01_レーザー・ウイング.jpg,輝く光翼が、超高速の動きを可能とした。
ジャスティス・バインド,DM18 22/140,351_042_01_ジャスティス・バインド.jpg,正義の名の下に捕縛せよ！
スマイル・アングラー,DM18 25/140,351_045_01_スマイル・アングラー.jpg,海底は今日も異常ないっぺよ。
ソーサーヘッド・シャーク,DM18 28/140,351_048_01_ソーサーヘッド・シャーク.jpg,「やっぱ、とうぶにどっきんぐするのはおとこのろまんだよな！」---トロピコ
テレポーテーション,DM18 29/140,351_049_01_テレポーテーション.jpg,一昨日きやがれ！
牙男,DM18 33/140,352_003_01_牙男.jpg,ヘドロに漂うものを武器に彼らは襲いくる。
ロスト・ソウル,DM18 34/140,352_004_01_ロスト・ソウル.jpg,崩れ落ちたその体からは、生きる意志さえ感じない。
ファントム・ベール,DM18 36/140,352_006_01_ファントム・ベール.jpg,偽りの優位に踊らされた者は、すぐにその愚かさを思い知らされる事になる。
ツインキャノン・ワイバーン,DM18 37/140,352_007_01_ツインキャノン・ワイバーン.jpg,その姿を確認する前、その爆音を聞いた時には諦めるしかない。ワイバーンは、次の瞬間目の前にいるのだから。
爆勇士ユーカーン,DM18 39/140,352_009_01_爆勇士ユーカーン.jpg,赤き鎧は、ドラゴンの末裔に相応しい事を証明して見せた者の証なのだ。
ドラグライド,DM18 40/140,352_010_01_ドラグライド.jpg,ドラグライドはワイバーンとともに成長する。そのきずなが彼らの武器である。
シェル・フォートレス,DM18 44/140,352_014_01_シェル・フォートレス.jpg,もはやそれは生物と呼べる代物ではない、まさに生ける「要塞」だ。
暴走するロング・ホーン,DM18 46/140,352_016_01_暴走するロング・ホーン.jpg,暴走するロング・ホーンが通り過ぎると、土ぼこりだけしか残らない。
